metric_key,sensor_id,block_id,tank_id,recorded_at,value,source_system,vintage
air_temp,WS-01,,,2022-04-01 00:00:00,48.81,weather_station,2022
humidity,WS-01,,,2022-04-01 00:00:00,74.9,weather_station,2022
wind_speed,WS-01,,,2022-04-01 00:00:00,3.54,weather_station,2022
wind_dir,WS-01,,,2022-04-01 00:00:00,248,weather_station,2022
solar,WS-01,,,2022-04-01 00:00:00,0,weather_station,2022
uv,WS-01,,,2022-04-01 00:00:00,0.0,weather_station,2022
soil_moisture,SP-01,B1,,2022-04-01 00:00:00,27.24,soil_probe,2022
soil_temp,SP-01,B1,,2022-04-01 00:00:00,57.87,soil_probe,2022
soil_moisture,SP-02,B2,,2022-04-01 00:00:00,22.66,soil_probe,2022
soil_temp,SP-02,B2,,2022-04-01 00:00:00,58.13,soil_probe,2022
soil_moisture,SP-03,B3,,2022-04-01 00:00:00,23.56,soil_probe,2022
soil_temp,SP-03,B3,,2022-04-01 00:00:00,56.14,soil_probe,2022
cellar_temp,CELLAR-A,,,2022-04-01 00:00:00,56.11,hvac,2022
cellar_rh,CELLAR-A,,,2022-04-01 00:00:00,70.13,hvac,2022
air_temp,WS-01,,,2022-04-01 03:00:00,44.47,weather_station,2022
humidity,WS-01,,,2022-04-01 03:00:00,78.97,weather_station,2022
wind_speed,WS-01,,,2022-04-01 03:00:00,3.96,weather_station,2022
wind_dir,WS-01,,,2022-04-01 03:00:00,300,weather_station,2022
solar,WS-01,,,2022-04-01 03:00:00,0,weather_station,2022
uv,WS-01,,,2022-04-01 03:00:00,0.0,weather_station,2022
soil_moisture,SP-01,B1,,2022-04-01 03:00:00,27.68,soil_probe,2022
soil_temp,SP-01,B1,,2022-04-01 03:00:00,57.75,soil_probe,2022
soil_moisture,SP-02,B2,,2022-04-01 03:00:00,23.56,soil_probe,2022
soil_temp,SP-02,B2,,2022-04-01 03:00:00,57.61,soil_probe,2022
soil_moisture,SP-03,B3,,2022-04-01 03:00:00,24.06,soil_probe,2022
soil_temp,SP-03,B3,,2022-04-01 03:00:00,55.31,soil_probe,2022
cellar_temp,CELLAR-A,,,2022-04-01 03:00:00,55.83,hvac,2022
cellar_rh,CELLAR-A,,,2022-04-01 03:00:00,70.27,hvac,2022
irrigation_volume,FM-01,B1,,2022-04-01 05:00:00,0,flow_meter,2022
irrigation_volume,FM-02,B2,,2022-04-01 05:00:00,0,flow_meter,2022
irrigation_volume,FM-03,B3,,2022-04-01 05:00:00,0,flow_meter,2022
air_temp,WS-01,,,2022-04-01 06:00:00,47.3,weather_station,2022
humidity,WS-01,,,2022-04-01 06:00:00,76.15,weather_station,2022
wind_speed,WS-01,,,2022-04-01 06:00:00,4.37,weather_station,2022
wind_dir,WS-01,,,2022-04-01 06:00:00,303,weather_station,2022
solar,WS-01,,,2022-04-01 06:00:00,0,weather_station,2022
uv,WS-01,,,2022-04-01 06:00:00,0.0,weather_station,2022
soil_moisture,SP-01,B1,,2022-04-01 06:00:00,27.05,soil_probe,2022
soil_temp,SP-01,B1,,2022-04-01 06:00:00,58.1,soil_probe,2022
soil_moisture,SP-02,B2,,2022-04-01 06:00:00,23.22,soil_probe,2022
soil_temp,SP-02,B2,,2022-04-01 06:00:00,57.98,soil_probe,2022
soil_moisture,SP-03,B3,,2022-04-01 06:00:00,23.71,soil_probe,2022
soil_temp,SP-03,B3,,2022-04-01 06:00:00,55.82,soil_probe,2022
cellar_temp,CELLAR-A,,,2022-04-01 06:00:00,55.84,hvac,2022
cellar_rh,CELLAR-A,,,2022-04-01 06:00:00,70.88,hvac,2022
precipitation,WS-01,,,2022-04-01 06:00:00,0.0,weather_station,2022
air_temp,WS-01,,,2022-04-01 09:00:00,55.99,weather_station,2022
humidity,WS-01,,,2022-04-01 09:00:00,68.05,weather_station,2022
wind_speed,WS-01,,,2022-04-01 09:00:00,5.03,weather_station,2022
wind_dir,WS-01,,,2022-04-01 09:00:00,297,weather_station,2022
solar,WS-01,,,2022-04-01 09:00:00,524,weather_station,2022
uv,WS-01,,,2022-04-01 09:00:00,4.9,weather_station,2022
soil_moisture,SP-01,B1,,2022-04-01 09:00:00,25.17,soil_probe,2022
soil_temp,SP-01,B1,,2022-04-01 09:00:00,59.03,soil_probe,2022
soil_moisture,SP-02,B2,,2022-04-01 09:00:00,22.09,soil_probe,2022
soil_temp,SP-02,B2,,2022-04-01 09:00:00,59.11,soil_probe,2022
soil_moisture,SP-03,B3,,2022-04-01 09:00:00,22.64,soil_probe,2022
soil_temp,SP-03,B3,,2022-04-01 09:00:00,57.47,soil_probe,2022
cellar_temp,CELLAR-A,,,2022-04-01 09:00:00,55.87,hvac,2022
cellar_rh,CELLAR-A,,,2022-04-01 09:00:00,72.48,hvac,2022
air_temp,WS-01,,,2022-04-01 12:00:00,65.12,weather_station,2022
humidity,WS-01,,,2022-04-01 12:00:00,56.33,weather_station,2022
wind_speed,WS-01,,,2022-04-01 12:00:00,7.6,weather_station,2022
wind_dir,WS-01,,,2022-04-01 12:00:00,290,weather_station,2022
solar,WS-01,,,2022-04-01 12:00:00,871,weather_station,2022
uv,WS-01,,,2022-04-01 12:00:00,9.1,weather_station,2022
soil_moisture,SP-01,B1,,2022-04-01 12:00:00,24.18,soil_probe,2022
soil_temp,SP-01,B1,,2022-04-01 12:00:00,60.12,soil_probe,2022
soil_moisture,SP-02,B2,,2022-04-01 12:00:00,21.19,soil_probe,2022
soil_temp,SP-02,B2,,2022-04-01 12:00:00,60.28,soil_probe,2022
soil_moisture,SP-03,B3,,2022-04-01 12:00:00,21.86,soil_probe,2022
soil_temp,SP-03,B3,,2022-04-01 12:00:00,58.85,soil_probe,2022
