metric_key,sensor_id,block_id,tank_id,recorded_at,value,source_system,vintage
air_temp,WS-01,,,2024-04-01 00:00:00,45.6,weather_station,2024
humidity,WS-01,,,2024-04-01 00:00:00,79.43,weather_station,2024
wind_speed,WS-01,,,2024-04-01 00:00:00,4.01,weather_station,2024
wind_dir,WS-01,,,2024-04-01 00:00:00,170,weather_station,2024
solar,WS-01,,,2024-04-01 00:00:00,0,weather_station,2024
uv,WS-01,,,2024-04-01 00:00:00,0.0,weather_station,2024
soil_moisture,SP-01,B1,,2024-04-01 00:00:00,27.78,soil_probe,2024
soil_temp,SP-01,B1,,2024-04-01 00:00:00,54.73,soil_probe,2024
soil_moisture,SP-02,B2,,2024-04-01 00:00:00,23.69,soil_probe,2024
soil_temp,SP-02,B2,,2024-04-01 00:00:00,55.52,soil_probe,2024
soil_moisture,SP-03,B3,,2024-04-01 00:00:00,26.7,soil_probe,2024
soil_temp,SP-03,B3,,2024-04-01 00:00:00,53.38,soil_probe,2024
cellar_temp,CELLAR-A,,,2024-04-01 00:00:00,55.62,hvac,2024
cellar_rh,CELLAR-A,,,2024-04-01 00:00:00,70.25,hvac,2024
air_temp,WS-01,,,2024-04-01 03:00:00,40.85,weather_station,2024
humidity,WS-01,,,2024-04-01 03:00:00,85.43,weather_station,2024
wind_speed,WS-01,,,2024-04-01 03:00:00,2.63,weather_station,2024
wind_dir,WS-01,,,2024-04-01 03:00:00,168,weather_station,2024
solar,WS-01,,,2024-04-01 03:00:00,0,weather_station,2024
uv,WS-01,,,2024-04-01 03:00:00,0.0,weather_station,2024
soil_moisture,SP-01,B1,,2024-04-01 03:00:00,27.96,soil_probe,2024
soil_temp,SP-01,B1,,2024-04-01 03:00:00,54.04,soil_probe,2024
soil_moisture,SP-02,B2,,2024-04-01 03:00:00,24.12,soil_probe,2024
soil_temp,SP-02,B2,,2024-04-01 03:00:00,54.9,soil_probe,2024
soil_moisture,SP-03,B3,,2024-04-01 03:00:00,27.17,soil_probe,2024
soil_temp,SP-03,B3,,2024-04-01 03:00:00,52.83,soil_probe,2024
cellar_temp,CELLAR-A,,,2024-04-01 03:00:00,55.27,hvac,2024
cellar_rh,CELLAR-A,,,2024-04-01 03:00:00,69.13,hvac,2024
irrigation_volume,FM-01,B1,,2024-04-01 05:00:00,0,flow_meter,2024
irrigation_volume,FM-02,B2,,2024-04-01 05:00:00,0,flow_meter,2024
irrigation_volume,FM-03,B3,,2024-04-01 05:00:00,0,flow_meter,2024
air_temp,WS-01,,,2024-04-01 06:00:00,43.35,weather_station,2024
humidity,WS-01,,,2024-04-01 06:00:00,80.12,weather_station,2024
wind_speed,WS-01,,,2024-04-01 06:00:00,4.66,weather_station,2024
wind_dir,WS-01,,,2024-04-01 06:00:00,169,weather_station,2024
solar,WS-01,,,2024-04-01 06:00:00,0,weather_station,2024
uv,WS-01,,,2024-04-01 06:00:00,0.0,weather_station,2024
soil_moisture,SP-01,B1,,2024-04-01 06:00:00,28.07,soil_probe,2024
soil_temp,SP-01,B1,,2024-04-01 06:00:00,54.48,soil_probe,2024
soil_moisture,SP-02,B2,,2024-04-01 06:00:00,24.18,soil_probe,2024
soil_temp,SP-02,B2,,2024-04-01 06:00:00,55.12,soil_probe,2024
soil_moisture,SP-03,B3,,2024-04-01 06:00:00,26.34,soil_probe,2024
soil_temp,SP-03,B3,,2024-04-01 06:00:00,53.44,soil_probe,2024
cellar_temp,CELLAR-A,,,2024-04-01 06:00:00,55.42,hvac,2024
cellar_rh,CELLAR-A,,,2024-04-01 06:00:00,68.84,hvac,2024
precipitation,WS-01,,,2024-04-01 06:00:00,0.0,weather_station,2024
air_temp,WS-01,,,2024-04-01 09:00:00,51.6,weather_station,2024
humidity,WS-01,,,2024-04-01 09:00:00,67.53,weather_station,2024
wind_speed,WS-01,,,2024-04-01 09:00:00,8.29,weather_station,2024
wind_dir,WS-01,,,2024-04-01 09:00:00,187,weather_station,2024
solar,WS-01,,,2024-04-01 09:00:00,502,weather_station,2024
uv,WS-01,,,2024-04-01 09:00:00,5.3,weather_station,2024
soil_moisture,SP-01,B1,,2024-04-01 09:00:00,27.67,soil_probe,2024
soil_temp,SP-01,B1,,2024-04-01 09:00:00,55.62,soil_probe,2024
soil_moisture,SP-02,B2,,2024-04-01 09:00:00,23.75,soil_probe,2024
soil_temp,SP-02,B2,,2024-04-01 09:00:00,56.1,soil_probe,2024
soil_moisture,SP-03,B3,,2024-04-01 09:00:00,25.27,soil_probe,2024
soil_temp,SP-03,B3,,2024-04-01 09:00:00,54.71,soil_probe,2024
cellar_temp,CELLAR-A,,,2024-04-01 09:00:00,55.89,hvac,2024
cellar_rh,CELLAR-A,,,2024-04-01 09:00:00,69.67,hvac,2024
air_temp,WS-01,,,2024-04-01 12:00:00,61.68,weather_station,2024
humidity,WS-01,,,2024-04-01 12:00:00,56.95,weather_station,2024
wind_speed,WS-01,,,2024-04-01 12:00:00,10.22,weather_station,2024
wind_dir,WS-01,,,2024-04-01 12:00:00,214,weather_station,2024
solar,WS-01,,,2024-04-01 12:00:00,902,weather_station,2024
uv,WS-01,,,2024-04-01 12:00:00,9.8,weather_station,2024
soil_moisture,SP-01,B1,,2024-04-01 12:00:00,26.96,soil_probe,2024
soil_temp,SP-01,B1,,2024-04-01 12:00:00,57.13,soil_probe,2024
soil_moisture,SP-02,B2,,2024-04-01 12:00:00,23.34,soil_probe,2024
soil_temp,SP-02,B2,,2024-04-01 12:00:00,57.29,soil_probe,2024
soil_moisture,SP-03,B3,,2024-04-01 12:00:00,24.32,soil_probe,2024
soil_temp,SP-03,B3,,2024-04-01 12:00:00,55.8,soil_probe,2024
cellar_temp,CELLAR-A,,,2024-04-01 12:00:00,56.23,hvac,2024
cellar_rh,CELLAR-A,,,2024-04-01 12:00:00,72.09,hvac,2024
air_temp,WS-01,,,2024-04-01 15:00:00,67.52,weather_station,2024
humidity,WS-01,,,2024-04-01 15:00:00,53.39,weather_station,2024
wind_speed,WS-01,,,2024-04-01 15:00:00,10.13,weather_station,2024
