Date,Sample Description,Group #,Sample #,Sample Status,Analysis Name,Comment,Result,Units
2026-09-22 16:34,Mars 3 (berries),2338065R,609220728,Reported,titratable acidity,,7.1,g/L
2026-09-22 16:58,Mars 3 (berries),2338065R,609220728,Reported,sugar per berry (by volume),,215,mg/berry
2026-09-22 16:34,Mars 3 (berries),2338065R,609220728,Reported,pH,,3.44,""
2026-09-22 15:04,Mars 3 (berries),2338065R,609220728,Reported,berry weight,,1.13,g/berry
2026-09-22 16:34,Mars 3 (berries),2338065R,609220728,Reported,glucose + fructose,,237,g/L
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,berry volume variability,,27.4,%
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,berry volume,,0.94,mL/berry
2026-09-22 16:34,Mars 3 (berries),2338065R,609220728,Reported,brix,,23.2,degrees
2026-09-22 16:34,Mars 3 (berries),2338065R,609220728,Reported,L-malic acid,,2.35,g/L
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 2.0,,0,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.9,,0,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.8,,0,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.7,,0,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.6,,1,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.5,,4,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.4,,6,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.3,,4,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.2,,10,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.1,,10,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 1.0,,16,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.9,,18,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.8,,14,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.7,,10,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.6,,3,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.5,,2,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.4,,0,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.3,,0,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.2,,0,""
2026-09-22 14:33,Mars 3 (berries),2338065R,609220728,Reported,Dyostem Histogram : 0.1,,0,""
2026-09-22 16:34,Mars 2 (berries),2338065R,609220727,Reported,titratable acidity,,6.1,g/L
2026-09-22 16:58,Mars 2 (berries),2338065R,609220727,Reported,sugar per berry (by volume),,247,mg/berry
2026-09-22 16:34,Mars 2 (berries),2338065R,609220727,Reported,pH,,3.52,""
2026-09-22 15:04,Mars 2 (berries),2338065R,609220727,Reported,berry weight,,1.19,g/berry
2026-09-22 16:34,Mars 2 (berries),2338065R,609220727,Reported,glucose + fructose,,265,g/L
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,berry volume variability,,26.7,%
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,berry volume,,0.97,mL/berry
2026-09-22 16:34,Mars 2 (berries),2338065R,609220727,Reported,brix,,25.4,degrees
2026-09-22 16:34,Mars 2 (berries),2338065R,609220727,Reported,L-malic acid,,1.70,g/L
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 2.0,,0,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.9,,1,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.8,,1,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.7,,2,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.6,,1,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.5,,5,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.4,,4,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.3,,7,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.2,,10,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.1,,13,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 1.0,,15,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.9,,21,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.8,,13,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.7,,6,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.6,,4,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.5,,1,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.4,,0,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.3,,0,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.2,,0,""
2026-09-22 14:29,Mars 2 (berries),2338065R,609220727,Reported,Dyostem Histogram : 0.1,,0,""
